Date	From	To	Flight_Number	Airline	Distance	Duration	Seat	Seat_Type	Class	Reason	Plane	Registration	Trip	Note	From_OID	To_OID	Airline_OID	Plane_OID
- -	SZX	SIN	Singapore Airlines (SQ)	Singapore Airlines	1610	3:43					738							
			Direct	3374	3316	4435												
- -	TPE	SIN	Singapore Airlines (SQ)	Singapore Airlines	2001	4:30					77W 333							
			Direct	2276	3316	4435												
- -	TRV	SIN	Singapore Airlines (SQ)	Singapore Airlines	1925	4:21					319 320							
			Codeshare	3153	3316	4435												
- -	UPG	SIN	Singapore Airlines (SQ)	Singapore Airlines	1161	2:49					319 320							
			Codeshare	3240	3316	4435												
- -	USM	SIN	Singapore Airlines (SQ)	Singapore Airlines	627	1:45					319							
			Codeshare	3177	3316	4435												
- -	VTZ	SIN	Singapore Airlines (SQ)	Singapore Airlines	1806	4:06					319							
			Codeshare	3066	3316	4435												
- -	WUH	SIN	Singapore Airlines (SQ)	Singapore Airlines	2139	4:46					319 320							
			Codeshare	3376	3316	4435												
- -	XMN	SIN	Singapore Airlines (SQ)	Singapore Airlines	1858	4:12					320							
			Codeshare	3383	3316	4435												
- -	ZRH	SIN	Singapore Airlines (SQ)	Singapore Airlines	6399	13:17					388							
			Direct	1678	3316	4435												
